image_id,relative_path,species,true_label,true_breed_name,predicted_label,predicted_breed_name,predicted_species,confidence,cross_species_error,in_top_3,top_3_summary
BUF_MURRAH_0010,cleaned/buffalo/murrah/murrah_0010.jpg,buffalo,buffalo_murrah,Murrah,buffalo_manda,Manda,buffalo,0.3766,False,False,Manda (37.7%) | Sahiwal (5.7%) | Toda (5.4%)
BUF_NAGPURI_0010,cleaned/buffalo/nagpuri/nagpuri_0010.jpg,buffalo,buffalo_nagpuri,Nagpuri,cow_gangatiri,Gangatiri,cattle,0.0515,True,False,Gangatiri (5.1%) | Melghati (2.9%) | Himachali Pahari (2.6%)
BUF_NILI_RAVI_0003,cleaned/buffalo/nili_ravi/nili_ravi_0003.jpg,buffalo,buffalo_nili_ravi,Nili Ravi,buffalo_surti,Surti,buffalo,0.0315,False,False,Surti (3.1%) | Punganur (2.8%) | Lakhimi (2.8%)
BUF_PANDHARPURI_0002,cleaned/buffalo/pandharpuri/pandharpuri_0002.jpg,buffalo,buffalo_pandharpuri,Pandharpuri,cow_gir,Gir,cattle,0.1647,True,False,Gir (16.5%) | Kankrej (10.0%) | Manda (5.6%)
BUF_PURNATHADI_0002,cleaned/buffalo/purnathadi/purnathadi_0002.jpg,buffalo,buffalo_purnathadi,Purnathadi,cow_kankrej,Kankrej,cattle,0.1155,True,False,Kankrej (11.6%) | Gir (10.4%) | Vechur (5.2%)
BUF_SURTI_0019,cleaned/buffalo/surti/surti_0019.jpg,buffalo,buffalo_surti,Surti,buffalo_manda,Manda,buffalo,0.3017,False,False,Manda (30.2%) | Ongole (7.5%) | Nagori (7.0%)
BUF_SURTI_0021,cleaned/buffalo/surti/surti_0021.jpg,buffalo,buffalo_surti,Surti,buffalo_manda,Manda,buffalo,0.3167,False,True,Manda (31.7%) | Surti (11.8%) | Nagori (9.5%)
BUF_TODA_0017,cleaned/buffalo/toda/toda_0017.jpg,buffalo,buffalo_toda,Toda,cow_badri,Badri,cattle,0.1387,True,True,Badri (13.9%) | Toda (10.8%) | Surti (7.3%)
COW_AMRITMAHAL_0002,cleaned/cattle/amritmahal/amritmahal_0002.jpg,cattle,cow_amritmahal,Amritmahal,cow_kangayam,Kangayam,cattle,0.1323,False,False,Kangayam (13.2%) | Ongole (8.8%) | Gir (8.0%)
COW_BACHAUR_0002,cleaned/cattle/bachaur/bachaur_0002.jpg,cattle,cow_bachaur,Bachaur,cow_gir,Gir,cattle,0.1404,False,False,Gir (14.0%) | Ongole (7.9%) | Nagori (7.5%)
COW_BADRI_0015,cleaned/cattle/badri/badri_0015.jpg,cattle,cow_badri,Badri,cow_nimari,Nimari,cattle,0.2138,False,True,Nimari (21.4%) | Badri (16.1%) | Surti (8.7%)
COW_BADRI_0016,cleaned/cattle/badri/badri_0016.jpg,cattle,cow_badri,Badri,cow_nimari,Nimari,cattle,0.212,False,True,Nimari (21.2%) | Badri (14.0%) | Surti (8.1%)
COW_BADRI_0017,cleaned/cattle/badri/badri_0017.jpg,cattle,cow_badri,Badri,buffalo_nagpuri,Nagpuri,buffalo,0.2481,True,False,Nagpuri (24.8%) | Surti (15.6%) | Manda (6.1%)
COW_BARGUR_0001,cleaned/cattle/bargur/bargur_0001.jpg,cattle,cow_bargur,Bargur,cow_siri,Siri,cattle,0.1378,False,False,Siri (13.8%) | Nagori (9.1%) | Ladakhi (9.1%)
COW_BELAHI_0002,cleaned/cattle/belahi/belahi_0002.jpg,cattle,cow_belahi,Belahi,cow_gir,Gir,cattle,0.09,False,False,Gir (9.0%) | Vechur (6.6%) | Sahiwal (5.4%)
COW_BINJHARPURI_0002,cleaned/cattle/binjharpuri/binjharpuri_0002.jpg,cattle,cow_binjharpuri,Binjharpuri,cow_ongole,Ongole,cattle,0.3038,False,False,Ongole (30.4%) | Siri (12.8%) | Nagori (7.4%)
COW_DAGRI_0002,cleaned/cattle/dagri/dagri_0002.jpg,cattle,cow_dagri,Dagri,cow_ongole,Ongole,cattle,0.132,False,False,Ongole (13.2%) | Gir (12.4%) | Sahiwal (8.5%)
COW_DANGI_0005,cleaned/cattle/dangi/dangi_0005.jpg,cattle,cow_dangi,Dangi,cow_gangatiri,Gangatiri,cattle,0.0524,False,False,Gangatiri (5.2%) | Punganur (3.9%) | Nagpuri (3.5%)
COW_DEONI_0003,cleaned/cattle/deoni/deoni_0003.jpg,cattle,cow_deoni,Deoni,buffalo_toda,Toda,buffalo,0.0962,True,False,Toda (9.6%) | Gangatiri (6.7%) | Surti (6.0%)
COW_GANGATIRI_0008,cleaned/cattle/gangatiri/gangatiri_0008.jpg,cattle,cow_gangatiri,Gangatiri,buffalo_nagpuri,Nagpuri,buffalo,0.1884,True,False,Nagpuri (18.8%) | Badri (11.8%) | Toda (9.5%)
COW_GAOLAO_0002,cleaned/cattle/gaolao/gaolao_0002.jpg,cattle,cow_gaolao,Gaolao,cow_ongole,Ongole,cattle,0.1064,False,False,Ongole (10.6%) | Gangatiri (8.7%) | Vechur (7.6%)
COW_GHUMUSARI_0001,cleaned/cattle/ghumusari/ghumusari_0001.jpg,cattle,cow_ghumusari,Ghumusari,cow_ongole,Ongole,cattle,0.1027,False,False,Ongole (10.3%) | Vechur (7.8%) | Punganur (6.3%)
COW_GIR_0027,cleaned/cattle/gir/gir_0027.jpg,cattle,cow_gir,Gir,cow_kankrej,Kankrej,cattle,0.1382,False,True,Kankrej (13.8%) | Gir (10.8%) | Murrah (4.1%)
COW_GIR_0031,cleaned/cattle/gir/gir_0031.jpg,cattle,cow_gir,Gir,cow_kankrej,Kankrej,cattle,0.1198,False,True,Kankrej (12.0%) | Gir (9.5%) | Murrah (5.3%)
COW_HALLIKAR_0006,cleaned/cattle/hallikar/hallikar_0006.jpg,cattle,cow_hallikar,Hallikar,cow_kankrej,Kankrej,cattle,0.1343,False,False,Kankrej (13.4%) | Kangayam (8.5%) | Tharparkar (8.3%)
COW_HARIANA_0003,cleaned/cattle/hariana/hariana_0003.jpg,cattle,cow_hariana,Hariana,cow_ongole,Ongole,cattle,0.1221,False,False,Ongole (12.2%) | Kankrej (8.8%) | Tharparkar (7.5%)
COW_HIMACHALI_PAHARI_0002,cleaned/cattle/himachali_pahari/himachali_pahari_0002.jpg,cattle,cow_himachali_pahari,Himachali Pahari,buffalo_manda,Manda,buffalo,0.162,True,False,Manda (16.2%) | Mehsana (5.6%) | Gir (5.4%)
COW_KANGAYAM_0015,cleaned/cattle/kangayam/kangayam_0015.jpg,cattle,cow_kangayam,Kangayam,cow_ongole,Ongole,cattle,0.0898,False,True,Ongole (9.0%) | Tharparkar (7.8%) | Kangayam (6.3%)
COW_KANGAYAM_0016,cleaned/cattle/kangayam/kangayam_0016.jpg,cattle,cow_kangayam,Kangayam,cow_kankrej,Kankrej,cattle,0.0672,False,False,Kankrej (6.7%) | Gangatiri (5.5%) | Gir (5.2%)
COW_KANGAYAM_0017,cleaned/cattle/kangayam/kangayam_0017.jpg,cattle,cow_kangayam,Kangayam,cow_nagori,Nagori,cattle,0.3884,False,False,Nagori (38.8%) | Ongole (31.1%) | Gir (4.3%)
COW_KANKREJ_0015,cleaned/cattle/kankrej/kankrej_0015.jpg,cattle,cow_kankrej,Kankrej,cow_badri,Badri,cattle,0.1947,False,False,Badri (19.5%) | Toda (17.2%) | Nagori (8.9%)
COW_KANKREJ_0016,cleaned/cattle/kankrej/kankrej_0016.jpg,cattle,cow_kankrej,Kankrej,cow_badri,Badri,cattle,0.5183,False,False,Badri (51.8%) | Surti (16.4%) | Nagori (6.2%)
COW_KATHANI_0002,cleaned/cattle/kathani/kathani_0002.jpg,cattle,cow_kathani,Kathani,cow_sahiwal,Sahiwal,cattle,0.1727,False,False,Sahiwal (17.3%) | Vechur (12.7%) | Gir (9.7%)
COW_KENKATHA_0002,cleaned/cattle/kenkatha/kenkatha_0002.jpg,cattle,cow_kenkatha,Kenkatha,cow_gir,Gir,cattle,0.12,False,False,Gir (12.0%) | Manda (7.9%) | Kankrej (7.2%)
COW_KHARIAR_0001,cleaned/cattle/khariar/khariar_0001.jpg,cattle,cow_khariar,Khariar,cow_gir,Gir,cattle,0.1464,False,False,Gir (14.6%) | Sahiwal (13.7%) | Vechur (9.6%)
COW_KHERIGARH_0002,cleaned/cattle/kherigarh/kherigarh_0002.jpg,cattle,cow_kherigarh,Kherigarh,cow_kankrej,Kankrej,cattle,0.0838,False,False,Kankrej (8.4%) | Vechur (7.1%) | Kangayam (6.7%)
COW_KHILLAR_0002,cleaned/cattle/khillar/khillar_0002.jpg,cattle,cow_khillar,Khillar,cow_ongole,Ongole,cattle,0.1526,False,False,Ongole (15.3%) | Vechur (14.6%) | Tharparkar (9.3%)
COW_KONKAN_KAPILA_0002,cleaned/cattle/konkan_kapila/konkan_kapila_0002.jpg,cattle,cow_konkan_kapila,Konkan Kapila,cow_gir,Gir,cattle,0.1179,False,False,Gir (11.8%) | Manda (7.7%) | Kankrej (7.5%)
COW_KOPPAL_0003,cleaned/cattle/koppal/koppal_0003.jpg,cattle,cow_koppal,Koppal,cow_kankrej,Kankrej,cattle,0.1138,False,False,Kankrej (11.4%) | Tharparkar (8.3%) | Ongole (7.1%)
COW_KOSALI_0002,cleaned/cattle/kosali/kosali_0002.jpg,cattle,cow_kosali,Kosali,cow_gangatiri,Gangatiri,cattle,0.0925,False,False,Gangatiri (9.2%) | Punganur (2.6%) | Melghati (2.2%)
COW_KRISHNA_VALLEY_0002,cleaned/cattle/krishna_valley/krishna_valley_0002.jpg,cattle,cow_krishna_valley,Krishna Valley,cow_kankrej,Kankrej,cattle,0.1094,False,False,Kankrej (10.9%) | Kangayam (9.2%) | Gangatiri (6.1%)
COW_LAKHIMI_0002,cleaned/cattle/lakhimi/lakhimi_0002.jpg,cattle,cow_lakhimi,Lakhimi,cow_gir,Gir,cattle,0.172,False,False,Gir (17.2%) | Vechur (12.6%) | Sahiwal (8.0%)
COW_MAHAKAUSHALI_0002,cleaned/cattle/mahakaushali/mahakaushali_0002.jpg,cattle,cow_mahakaushali,Mahakaushali,cow_sahiwal,Sahiwal,cattle,0.0614,False,False,Sahiwal (6.1%) | Ongole (5.6%) | Manda (5.3%)
COW_MALNAD_GIDDA_0002,cleaned/cattle/malnad_gidda/malnad_gidda_0002.jpg,cattle,cow_malnad_gidda,Malnad Gidda,cow_gir,Gir,cattle,0.1432,False,False,Gir (14.3%) | Sahiwal (9.2%) | Kankrej (6.2%)
COW_MALVI_0003,cleaned/cattle/malvi/malvi_0003.jpg,cattle,cow_malvi,Malvi,buffalo_toda,Toda,buffalo,0.0882,True,False,Toda (8.8%) | Surti (5.9%) | Badri (3.5%)
COW_MASILUM_0002,cleaned/cattle/masilum/masilum_0002.jpg,cattle,cow_masilum,Masilum,cow_gir,Gir,cattle,0.1873,False,False,Gir (18.7%) | Sahiwal (12.4%) | Vechur (7.0%)
COW_MEDINI_0003,cleaned/cattle/medini/medini_0003.jpg,cattle,cow_medini,Medini,cow_nagori,Nagori,cattle,0.2259,False,False,Nagori (22.6%) | Siri (7.7%) | Surti (6.5%)
COW_MEWATI_0002,cleaned/cattle/mewati/mewati_0002.jpg,cattle,cow_mewati,Mewati,cow_ongole,Ongole,cattle,0.1075,False,False,Ongole (10.8%) | Sahiwal (6.0%) | Gir (5.9%)
COW_MOTU_0002,cleaned/cattle/motu/motu_0002.jpg,cattle,cow_motu,Motu,cow_siri,Siri,cattle,0.2306,False,False,Siri (23.1%) | Ladakhi (7.2%) | Manda (7.2%)
COW_NAGORI_0015,cleaned/cattle/nagori/nagori_0015.jpg,cattle,cow_nagori,Nagori,cow_siri,Siri,cattle,0.2497,False,True,Siri (25.0%) | Nagori (10.7%) | Amritmahal (5.2%)
COW_NAGORI_0017,cleaned/cattle/nagori/nagori_0017.jpg,cattle,cow_nagori,Nagori,buffalo_nagpuri,Nagpuri,buffalo,0.0909,True,True,Nagpuri (9.1%) | Badri (4.9%) | Nagori (4.2%)
COW_NARI_0003,cleaned/cattle/nari/nari_0003.jpg,cattle,cow_nari,Nari,buffalo_toda,Toda,buffalo,0.2665,True,False,Toda (26.7%) | Surti (4.0%) | Siri (3.6%)
COW_ONGOLE_0026,cleaned/cattle/ongole/ongole_0026.jpg,cattle,cow_ongole,Ongole,cow_gir,Gir,cattle,0.1509,False,True,Gir (15.1%) | Manda (15.0%) | Ongole (14.0%)
COW_ONGOLE_0027,cleaned/cattle/ongole/ongole_0027.jpg,cattle,cow_ongole,Ongole,cow_siri,Siri,cattle,0.1603,False,True,Siri (16.0%) | Ongole (8.9%) | Nagori (6.6%)
COW_ONGOLE_0029,cleaned/cattle/ongole/ongole_0029.jpg,cattle,cow_ongole,Ongole,cow_siri,Siri,cattle,0.4001,False,True,Siri (40.0%) | Nagori (20.1%) | Ongole (7.2%)
COW_PERIYAR_0006,cleaned/cattle/periyar/periyar_0006.jpg,cattle,cow_periyar,Periyar,cow_ongole,Ongole,cattle,0.3105,False,False,Ongole (31.1%) | Kangayam (15.1%) | Gir (7.9%)
COW_PODA_THURPU_0002,cleaned/cattle/poda_thurpu/poda_thurpu_0002.jpg,cattle,cow_poda_thurpu,Poda Thurpu,cow_gir,Gir,cattle,0.1665,False,False,Gir (16.7%) | Ongole (10.0%) | Nagori (3.7%)
COW_PONWAR_0003,cleaned/cattle/ponwar/ponwar_0003.jpg,cattle,cow_ponwar,Ponwar,buffalo_manda,Manda,buffalo,0.2008,True,False,Manda (20.1%) | Gir (15.3%) | Ongole (5.6%)
COW_PULIKULAM_0002,cleaned/cattle/pulikulam/pulikulam_0002.jpg,cattle,cow_pulikulam,Pulikulam,cow_siri,Siri,cattle,0.2093,False,False,Siri (20.9%) | Nagpuri (12.8%) | Gir (9.7%)
COW_PUNGANUR_0015,cleaned/cattle/punganur/punganur_0015.jpg,cattle,cow_punganur,Punganur,cow_badri,Badri,cattle,0.6289,False,False,Badri (62.9%) | Surti (8.1%) | Manda (1.8%)
COW_PUNGANUR_0016,cleaned/cattle/punganur/punganur_0016.jpg,cattle,cow_punganur,Punganur,cow_sahiwal,Sahiwal,cattle,0.1145,False,True,Sahiwal (11.5%) | Ongole (8.3%) | Punganur (7.1%)
COW_PURNEA_0002,cleaned/cattle/purnea/purnea_0002.jpg,cattle,cow_purnea,Purnea,cow_gir,Gir,cattle,0.1178,False,False,Gir (11.8%) | Sahiwal (10.9%) | Ongole (10.4%)
COW_RATHI_0002,cleaned/cattle/rathi/rathi_0002.jpg,cattle,cow_rathi,Rathi,cow_sahiwal,Sahiwal,cattle,0.2932,False,False,Sahiwal (29.3%) | Vechur (14.1%) | Gir (8.2%)
COW_RED_KANDHARI_0003,cleaned/cattle/red_kandhari/red_kandhari_0003.jpg,cattle,cow_red_kandhari,Red Kandhari,cow_gir,Gir,cattle,0.1968,False,False,Gir (19.7%) | Sahiwal (14.2%) | Vechur (11.0%)
COW_RED_SINDHI_0005,cleaned/cattle/red_sindhi/red_sindhi_0005.jpg,cattle,cow_red_sindhi,Red Sindhi,buffalo_nagpuri,Nagpuri,buffalo,0.1227,True,False,Nagpuri (12.3%) | Punganur (9.0%) | Toda (4.9%)
COW_ROHILKHANDI_0002,cleaned/cattle/rohilkhandi/rohilkhandi_0002.jpg,cattle,cow_rohilkhandi,Rohilkhandi,cow_ongole,Ongole,cattle,0.1785,False,False,Ongole (17.8%) | Tharparkar (5.6%) | Punganur (5.4%)
COW_SAHIWAL_0020,cleaned/cattle/sahiwal/sahiwal_0020.jpg,cattle,cow_sahiwal,Sahiwal,cow_gir,Gir,cattle,0.3737,False,True,Gir (37.4%) | Sahiwal (27.0%) | Red Sindhi (4.0%)
COW_SAHIWAL_0021,cleaned/cattle/sahiwal/sahiwal_0021.jpg,cattle,cow_sahiwal,Sahiwal,cow_gir,Gir,cattle,0.2009,False,False,Gir (20.1%) | Siri (8.8%) | Nagori (8.3%)
COW_SANCHORI_0002,cleaned/cattle/sanchori/sanchori_0002.jpg,cattle,cow_sanchori,Sanchori,cow_kankrej,Kankrej,cattle,0.1131,False,False,Kankrej (11.3%) | Ongole (11.0%) | Tharparkar (8.7%)
COW_SHWETA_KAPILA_0002,cleaned/cattle/shweta_kapila/shweta_kapila_0002.jpg,cattle,cow_shweta_kapila,Shweta Kapila,cow_ongole,Ongole,cattle,0.1889,False,False,Ongole (18.9%) | Siri (18.1%) | Kangayam (10.2%)
COW_SIRI_0019,cleaned/cattle/siri/siri_0019.jpg,cattle,cow_siri,Siri,cow_ongole,Ongole,cattle,0.1097,False,True,Ongole (11.0%) | Siri (9.8%) | Nagori (5.5%)
COW_SIRI_0020,cleaned/cattle/siri/siri_0020.jpg,cattle,cow_siri,Siri,buffalo_surti,Surti,buffalo,0.0779,True,False,Surti (7.8%) | Nagori (7.3%) | Ongole (7.1%)
COW_SIRI_0021,cleaned/cattle/siri/siri_0021.jpg,cattle,cow_siri,Siri,cow_gir,Gir,cattle,0.0821,False,True,Gir (8.2%) | Sahiwal (7.6%) | Siri (7.3%)
COW_THARPARKAR_0010,cleaned/cattle/tharparkar/tharparkar_0010.jpg,cattle,cow_tharparkar,Tharparkar,buffalo_surti,Surti,buffalo,0.087,True,False,Surti (8.7%) | Nagori (8.1%) | Gir (3.8%)
COW_THARPARKAR_0012,cleaned/cattle/tharparkar/tharparkar_0012.jpg,cattle,cow_tharparkar,Tharparkar,buffalo_toda,Toda,buffalo,0.2039,True,False,Toda (20.4%) | Siri (17.3%) | Nagori (13.9%)
COW_THUTHO_0002,cleaned/cattle/thutho/thutho_0002.jpg,cattle,cow_thutho,Thutho,buffalo_manda,Manda,buffalo,0.1714,True,False,Manda (17.1%) | Murrah (7.4%) | Gir (5.0%)
COW_UMARDA_0002,cleaned/cattle/umarda/umarda_0002.jpg,cattle,cow_umarda,Umarda,cow_sahiwal,Sahiwal,cattle,0.1721,False,False,Sahiwal (17.2%) | Gir (7.4%) | Ongole (6.7%)
COW_UMBLACHERY_0002,cleaned/cattle/umblachery/umblachery_0002.jpg,cattle,cow_umblachery,Umblachery,cow_gir,Gir,cattle,0.0758,False,False,Gir (7.6%) | Manda (6.9%) | Ongole (5.6%)
COW_VECHUR_0017,cleaned/cattle/vechur/vechur_0017.jpg,cattle,cow_vechur,Vechur,cow_punganur,Punganur,cattle,0.3744,False,False,Punganur (37.4%) | Kangayam (10.5%) | Gir (5.9%)
COW_VECHUR_0018,cleaned/cattle/vechur/vechur_0018.jpg,cattle,cow_vechur,Vechur,cow_punganur,Punganur,cattle,0.6231,False,True,Punganur (62.3%) | Kangayam (5.6%) | Vechur (5.4%)
COW_VECHUR_0019,cleaned/cattle/vechur/vechur_0019.jpg,cattle,cow_vechur,Vechur,cow_sahiwal,Sahiwal,cattle,0.2464,False,True,Sahiwal (24.6%) | Vechur (16.2%) | Gir (10.3%)
